1,0,2,24
2,2,1,22
3,3,2,19
4,4,1,2
5,5,1,6
6,4,1,4
7,4,1,2
8,5,2,6
9,3,1,8
10,1,1,1
11,0,2,30
12,5,1,6
13,2,1,12
14,0,1,7
15,5,1,6
16,5,2,10
17,0,1,30
18,5,1,6
19,5,1,6
20,3,1,8
21,1,1,16
22,1,1,15
23,0,2,29
24,2,1,12
25,2,2,22
26,0,2,30
27,0,2,7
28,0,2,24
29,4,1,26
30,0,1,20
31,3,1,23
32,4,1,27
33,5,2,6
34,4,1,2
35,4,1,2
36,5,1,10
37,0,1,24
38,5,1,14
39,0,2,29
40,5,1,14
41,4,2,3
42,4,2,4
43,1,2,28
44,5,1,14
45,2,1,17
46,3,2,19
47,3,2,23
48,4,2,26
49,5,2,9
50,0,1,7
51,0,1,7
52,1,1,16
53,4,1,27
54,0,1,20
55,2,1,11
56,5,2,14
57,0,2,30
58,4,2,27
59,0,1,20
60,3,1,18
61,2,1,12
62,3,1,18
63,3,1,18
64,1,1,16
65,4,1,4
66,3,2,19
67,1,2,16
68,4,2,3
69,5,2,6
70,5,2,6
71,3,2,23
72,1,2,5
73,0,1,24
74,0,1,24
75,4,1,27
76,3,1,23
77,4,1,3
78,1,1,21
79,1,2,5
80,5,1,6
81,2,1,25
82,1,2,21
83,5,1,6
84,2,1,12
85,4,2,27
86,2,1,11
87,0,1,29
88,4,1,2
89,2,1,25
90,5,1,13
91,1,2,5
92,0,1,24
93,1,2,21
94,5,2,9
95,0,2,20
96,0,2,24
97,2,1,11
98,3,1,8
99,1,1,21
100,2,2,17
101,2,2,17
102,1,2,28
103,5,1,9
104,5,2,6
105,1,2,5
106,4,2,4
107,1,1,5
108,0,2,24
109,2,1,12
110,2,1,22
111,3,1,8
112,0,1,7
113,3,1,18
114,1,2,1
115,5,1,10
116,5,1,13
117,3,1,19
118,5,2,13
119,5,2,6
120,1,2,28
121,1,2,21
122,5,2,10
123,4,2,26
124,2,1,25
125,1,1,15
126,1,2,15
127,1,2,16
128,5,2,14
129,1,2,5
130,1,1,1
131,2,1,12
132,3,1,18
133,2,2,22
134,5,2,10
135,0,1,30
136,4,2,2
137,4,1,27
138,4,1,2
139,5,2,9
140,3,2,8
141,2,2,25
142,2,2,22
143,3,2,19
144,2,2,11
145,3,1,19
146,1,1,21
147,4,1,4
148,4,2,26
149,5,1,6
150,0,1,7
151,1,1,15
152,3,1,23
153,3,2,8
154,1,1,5
155,3,1,8
156,0,2,29
157,2,1,22
158,5,1,6
159,2,1,11
160,0,1,7
161,4,1,2
162,1,1,1
163,3,2,18
164,1,1,1
165,1,1,21
166,3,1,18
167,4,1,3
168,0,1,24
169,2,2,25
170,0,2,29
171,4,2,2
172,4,2,4
173,1,2,1
174,2,1,12
175,2,1,25
176,1,1,5
177,3,2,19
178,5,1,9
179,2,2,22
180,2,2,17
181,0,2,7
182,4,1,27
183,0,1,20
184,4,1,3
185,0,1,29
186,1,1,21
187,5,1,13
188,4,2,27
189,5,2,9
190,2,2,22
191,0,2,30
192,3,1,19
193,4,2,4
194,0,1,20
195,3,2,19
196,2,2,12
197,0,2,20
198,2,2,25
199,0,2,20
200,4,2,4
201,0,1,29
202,5,1,14
203,1,1,15
204,2,1,11
205,4,1,2
206,5,2,14
207,5,2,14
208,0,2,7
209,3,2,19
210,0,1,7
211,0,1,30
212,0,1,24
213,3,2,18
214,2,2,12
215,3,2,18
216,1,2,15
217,3,1,19
218,5,1,6
219,2,1,17
220,4,1,3
221,1,1,1
222,1,1,16
223,3,1,18
224,1,2,1
225,3,2,18
226,5,2,6
227,2,2,25
228,0,2,20
229,0,2,29
230,5,1,13
231,4,1,27
232,0,2,7
233,0,1,29
234,3,1,19
235,3,2,23
236,1,2,28
237,0,2,7
238,1,2,5
239,0,1,24
240,4,1,26
241,1,2,16
242,1,2,28
243,4,2,3
244,5,2,9
245,1,1,5
246,4,2,2
247,1,2,1
248,1,1,5
249,2,1,17
250,4,1,26
251,1,1,15
252,1,1,21
253,4,1,2
254,1,1,28
255,5,1,13
256,2,2,17
257,5,1,14
258,4,2,26
259,0,1,30
260,2,1,11
261,1,1,28
262,5,1,9
263,3,1,8
264,0,2,7
265,1,2,1
266,2,2,22
267,3,1,23
268,0,2,29
269,1,2,28
270,5,2,9
271,1,2,15
272,1,1,5
273,1,1,28
274,5,1,9
275,1,2,15
276,1,2,28
277,0,2,20
278,4,2,4
279,1,2,28
280,4,2,2
281,1,2,16
282,2,2,11
283,2,2,12
284,1,2,5
285,1,1,28
286,0,1,20
287,3,2,8
288,5,2,13
289,3,2,8
290,1,1,15
291,5,1,13
292,5,2,6
293,0,1,30
294,0,1,30
295,4,1,4
296,3,1,8
297,5,1,14
298,1,1,28
299,2,1,11
300,3,2,8
301,5,1,14
302,1,1,1
303,4,1,26
304,2,2,17
305,4,2,27
306,2,2,12
307,1,2,16
308,2,2,25
309,4,2,2
310,1,2,15
311,4,2,2
312,3,2,23
313,0,2,20
314,2,1,17
315,3,2,23
316,0,2,20
317,2,2,17
318,1,1,1
319,1,1,28
320,0,2,7
321,5,2,13
322,1,2,28
323,3,1,19
324,2,2,22
325,3,2,18
326,2,1,17
327,4,1,26
328,1,1,28
329,0,2,29
330,2,2,25
331,0,2,24
332,0,2,24
333,1,1,21
334,3,2,18
335,4,2,26
336,3,2,8
337,1,2,16
338,1,2,1
339,4,1,2
340,4,2,27
341,3,2,8
342,0,2,30
343,1,1,1
344,3,1,18
345,2,1,17
346,1,2,5
347,4,2,27
348,1,2,5
349,2,2,25
350,4,2,4
351,1,2,15
352,2,2,22
353,1,1,15
354,5,1,10
355,0,1,30
356,0,2,29
357,4,2,27
358,2,1,12
359,5,1,10
360,2,1,22
361,5,1,13
362,1,1,16
363,4,1,4
364,5,2,6
365,5,1,9
366,0,1,29
367,2,2,17
368,2,2,25
369,2,1,25
370,5,2,10
371,0,1,30
372,2,1,17
373,1,2,21
374,3,1,23
375,4,1,26
376,4,1,27
377,2,1,25
378,4,1,26
379,5,2,10
380,5,2,13
381,5,2,9
382,5,2,6
383,3,1,18
384,3,1,23
385,2,1,25
386,1,2,21
387,2,2,22
388,0,1,24
389,5,1,9
390,3,1,23
391,3,2,23
392,2,2,11
393,3,2,23
394,1,2,16
395,4,2,3
396,5,1,10
397,1,1,5
398,3,2,18
399,1,2,16
400,1,1,5
401,2,2,11
402,3,2,18
403,3,2,23
404,0,2,7
405,3,2,19
406,4,2,26
407,0,1,7
408,1,1,5
409,1,1,28
410,2,1,17
411,3,1,19
412,2,1,12
413,3,1,23
414,0,1,29
415,0,1,24
416,3,1,19
417,0,1,20
418,5,1,9
419,4,1,4
420,2,1,25
421,2,2,12
422,5,2,6
423,1,1,15
424,5,1,6
425,1,2,5
426,4,2,26
427,0,1,30
428,2,1,25
429,4,2,26
430,2,2,17
431,3,2,18
432,3,1,8
433,1,1,28
434,1,2,1
435,4,1,4
436,3,1,8
437,1,1,15
438,1,2,28
439,1,2,15
440,4,2,2
441,5,2,10
442,5,2,6
443,0,1,24
444,3,2,19
445,2,2,12
446,2,2,25
447,4,2,27
448,0,2,7
449,2,2,11
450,4,2,3
451,4,1,26
452,0,1,30
453,4,2,4
454,3,2,8
455,2,1,17
456,3,2,23
457,3,2,23
458,0,2,20
459,1,1,15
460,5,2,10
461,0,2,20
462,0,2,24
463,3,2,23
464,2,2,12
465,4,2,3
466,0,2,30
467,4,2,27
468,2,2,12
469,1,2,21
470,0,2,20
471,1,2,15
472,3,1,19
473,4,1,26
474,2,2,12
475,2,2,25
476,2,1,22
477,2,1,12
478,4,1,27
479,2,1,17
480,2,1,25
481,5,1,10
482,5,1,10
483,0,2,24
484,4,2,2
485,5,2,13
486,5,2,10
487,0,1,29
488,5,1,14
489,4,2,4
490,2,2,17
491,2,2,22
492,3,1,18
493,0,1,30
494,3,1,18
495,2,1,22
496,1,1,16
497,0,2,24
498,4,2,2
499,0,2,30
500,1,1,16
501,3,2,19
502,5,2,6
503,5,2,9
504,4,2,3
505,5,2,13
506,5,1,14
507,4,1,4
508,1,1,21
509,5,1,13
510,1,1,28
511,0,1,29
512,4,1,4
513,0,1,7
514,1,2,16
515,2,2,12
516,1,2,21
517,0,2,29
518,3,2,23
519,0,2,7
520,2,1,22
521,3,1,19
522,3,1,23
523,2,2,11
524,3,2,8
525,3,2,8
526,0,1,24
527,1,1,1
528,0,1,30
529,3,1,18
530,5,1,6
531,5,1,10
532,0,2,30
533,1,2,5
534,4,2,26
535,5,1,9
536,5,1,9
537,3,2,18
538,5,2,10
539,0,2,24
540,2,2,12
541,2,1,11
542,0,2,30
543,5,1,10
544,2,1,17
545,0,1,29
546,4,1,27
547,1,1,16
548,4,1,27
549,1,1,5
550,5,1,6
551,2,1,11
552,5,1,9
553,3,1,19
554,1,1,16
555,1,2,21
556,4,2,27
557,5,2,9
558,2,2,17
559,0,1,20
560,1,1,16
561,1,1,1
562,1,2,5
563,2,2,12
564,5,2,14
565,0,2,24
566,4,2,26
567,0,2,30
568,3,1,8
569,3,1,18
570,1,1,5
571,4,1,4
572,3,1,23
573,4,2,2
574,5,1,14
575,5,1,13
576,3,1,23
577,5,2,13
578,3,1,23
579,4,1,26
580,5,2,13
581,3,1,19
582,5,2,14
583,3,2,19
584,3,2,19
585,1,2,15
586,0,1,29
587,5,2,10
588,3,2,18
589,0,2,30
590,4,2,4
591,3,2,18
592,3,2,18
593,1,2,1
594,0,2,29
595,5,2,9
596,0,2,30
597,0,1,20
598,1,1,5
599,1,2,15
600,2,1,22
